# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
a0901407705992dc213ac509ede97d47	1606.0	98.0	267.0	905.0	0.0	0.0	0.0	570.0	36.0	1546.0	0.0	25.0	50.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0
ad418d37be371f0d9b2ab7aa0692f9e9	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	4989.0	0.0
27052f318d4d0929a23a8cff8ee1800c	0.0	0.0	2903.0	1526.0	0.0	0.0	0.0	0.0	0.0	59.0	149.0	136.0	0.0	0.0	0.0	0.0	0.0	168.0	52.0	0.0
fd2d0e66ad3fabf31466a23447326122	0.0	0.0	0.0	0.0	38.0	3008.0	21.0	12.0	17.0	56.0	69.0	488.0	0.0	147.0	0.0	711.0	0.0	0.0	0.0	229.0
9ca7f69d05093e0d05c4bbeef21fbaec	0.0	0.0	0.0	0.0	0.0	0.0	4784.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04ecfad5772d2e09a84a0f5ef460536c	50.0	36.0	112.0	36.0	177.0	0.0	0.0	945.0	498.0	0.0	494.0	0.0	93.0	317.0	247.0	0.0	177.0	1468.0	91.0	22.0
9bcce4f32d18ef55f5dd7ca9ecbbbd35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	4678.0	0.0	0.0	0.0	0.0
1abfd002e1cac900a13edcc864e30d1f	0.0	0.0	0.0	0.0	167.0	0.0	358.0	0.0	21.0	0.0	1425.0	0.0	673.0	16.0	358.0	0.0	986.0	99.0	501.0	66.0
a49d3ef3f0bf181750827247b34ea4a4	0.0	0.0	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	85.0	0.0	68.0	1317.0	1025.0	121.0	488.0	735.0	45.0	299.0
47b01e5705a0e2db357031b39da900db	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	55.0	393.0	230.0	118.0	786.0	682.0	0.0	834.0	532.0	349.0	377.0
9386345d815abe81dd298a3e1c431692	37.0	0.0	0.0	212.0	0.0	45.0	0.0	2322.0	0.0	1137.0	0.0	44.0	0.0	25.0	0.0	195.0	41.0	247.0	0.0	115.0
d49e4b3338a18fd2a2219fbcd7f4cb5a	0.0	0.0	0.0	0.0	0.0	0.0	4396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d2c14673336d9b3129c82e2594cd20d8	4046.0	39.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4a88f63caed04eea76b2b1ecb2d2a7a3	8.0	27.0	0.0	4191.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	32.0	0.0	0.0	8.0	0.0	0.0	0.0
