Feature ID	Taxon	Confidence
04dde42aa41937090ea9134ac333ff89	d__Bacteria	0.812747309305166
0f18144d308ada95632ab5193d92073f	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464	0.9491889505490018
d42f71ee4f654658c98c1e7b7fdc1750	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__; s__	0.754090926128287
b3fe77bd4d27e30779be9b5fbdcd84bd	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes missouriensis	0.7160778938195551
a0901407705992dc213ac509ede97d47	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	0.9340006525584554
ad418d37be371f0d9b2ab7aa0692f9e9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	0.9999998216706755
27052f318d4d0929a23a8cff8ee1800c	d__Bacteria	0.7968053544320949
fd2d0e66ad3fabf31466a23447326122	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421	0.9999998970635962
9ca7f69d05093e0d05c4bbeef21fbaec	d__Bacteria	0.8065283597014264
04ecfad5772d2e09a84a0f5ef460536c	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae; g__Methylobacterium	0.9999999954635931
9bcce4f32d18ef55f5dd7ca9ecbbbd35	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__OMJO01; g__OMJO01; s__	0.9973457401340324
1abfd002e1cac900a13edcc864e30d1f	d__Bacteria; p__Chloroflexota; c__Anaerolineae	0.8959172588668147
a49d3ef3f0bf181750827247b34ea4a4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__Chryseolinea_898797; s__	0.7064315666729222
47b01e5705a0e2db357031b39da900db	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__; s__	0.703521920313939
9386345d815abe81dd298a3e1c431692	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Plantibacter; s__Plantibacter sp001423185	0.7880456335146762
d49e4b3338a18fd2a2219fbcd7f4cb5a	d__Bacteria	0.8367355822150738
d2c14673336d9b3129c82e2594cd20d8	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Saccharibacillus; s__	0.9956564566648275
4a88f63caed04eea76b2b1ecb2d2a7a3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__Sphingobacterium chungjuense	0.8894528288778005
085a80de031d8322642c86faf61b2230	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_B_887417	0.9995866106395349
